State,Population
Alabama,5030053
Alaska,736081
Arizona,7158923
Arkansas,3013756
California,39576757
Colorado,5782171
Connecticut,3608298
Delaware,990837
Florida,21570527
Georgia,10725274
Hawaii,1460137
Idaho,1841377
Illinois,12822739
Indiana,6790280
Iowa,3192406
Kansas,2940865
Kentucky,4509342
Louisiana,4661468
Maine,1363582
Maryland,6185278
Massachusetts,7033469
Michigan,10084442
Minnesota,5709726
Mississippi,2963914
Missouri,6160281
Montana,1085407
Nebraska,1963333
Nevada,3108462
New Hampshire,1379089
New Jersey,9294493
New Mexico,2120220
New York,20215751
North Carolina,10453948
North Dakota,779702
Ohio,11808848
Oklahoma,3963516
Oregon,4241500
Pennsylvania,13011844
Rhode Island,1098163
South Carolina,5124712
South Dakota,887770
Tennessee,6916897
Texas,29183290
Utah,3275252
Vermont,643503
Virginia,8654542
Washington,7715946
West Virginia,1795045
Wisconsin,5897473
Wyoming,577719
